name,website,email,phone,address,programs
HOUSE OF WELLA SALON & TRAINING INSTITUTE L.LC,https://tec.gov.ae/en/,bakreltraas@gmail.com,971 4 3418851,Al Ferdous Building 4 - First Floor - Office No. 123 - Al Safa First - Bur Dubai,Hair Stylist Training; Beauty Care Training
Academy Khubara Al Maarefa Training,https://tec.gov.ae/en/,keat.uae.dubai@gmai.com,971585459181,Abu hail building Office No10,Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Legal Training; Media Production Training; Hospitality and Tourism Training; Beauty Care Training
ASTI for University Placement Services,https://tec.gov.ae/en/,chairman.office@myaups.com,97145473333,"Office 3/01, Al Saudi Building, Al Mara",
Enhance Training Institute L.L.C,https://tec.gov.ae/en/,mak@cuckoos.ae,971 5 6111300,"NTDE Complex, Unit S4, DIP 2",Educators' Professional Training; Child Skills Development Centre
Extract BB Dance Studio L.L.C,https://tec.gov.ae/en/,n.d.chopper98@gmail.com,971529855382,"Iris Bay Tower, Off# 2003",Performing Arts Training; Media Production Training
F T P Academy for Training L.L.C,https://tec.gov.ae/en/,GM@ftplatinum.ae,97143895555,????? ?????? " ???? " - ?????,Accounting and Finance Training; Management Training; Business and Secretarial Training; Computer Skills Training
The Nurture Place Skills Training L.L.C,https://tec.gov.ae/en/,thenurturep@gmail.com,971505688274,NOORANIYAH BLDG - Office : MF-74 - Hor Al Anz,Social and Behavioural Training; Child Skills Development Centre
128BPM FZCO,https://tec.gov.ae/en/,ermakconsulting@gmail.com,971506732414,"Unit No: 2304, Fortune Tower, Plot No: JLT-PH1-C1A Jumeirah Lakes Towers, Dubai - UAE",Performing Arts Training; Training Course in High Heels (Base); Training Course in High Heels (Pro); Training Course in Latina; Training Course in Vogue; Training Course in Heels Technique; Training Course in Private Dance; Training Course in Plastic Dance; Training Course in Heels Barre; Training Course in Twerk; Training Course in Work &Twerk; Training Course in Twerk&Step; Training Course in Hip-Hop; Training Course in Reggaeton; Training Course in Choreo; Training Course in Girly Hip-Hop; Training Course in Choreo (Pro); Training Course in Juzz Funk; Training Course in Dancehall; Training Course in Trendy dance; Training Course in Strip plastic; Training Course in Strip (Base); Training Course in Frame Up Strip; Training Course in Pole Sport; Training Course in Exotic&Poledance; Training Course in Stretching; Training Course in Pilates; Training Course in Myofascial release; Training Course in Healthy back; Training Course in Techno-yoga; Training Course in Meditation; Training Course in Hatha-yoga; Training Course in Contemporary; Training Course in Barre; Training Course in Sacred nature dance; Training Course in Modern ballet; Training Course in Cardiodance; Training Course in Functional training; Training Course in Functional twine; Training Course in HIIT (High-Intensity Interval Training); Training Course in Low&power&flex
30 November Training L.L.C,https://tec.gov.ae/en/,Y6533314@gmail.com,97141234567,"Office No. 14401-A7, Building - owned by the National Bonds Company.","Management Training; Computer Skills Training; Language Training; Performing Arts Training; Examination Preparation; Construction, Mechanical and the Built Environment Skills Training; Child Skills Development Centre"
3DXB for Technical and occupational Skills Training,https://tec.gov.ae/en/,ceo@3dxb.me,97143389105,"SS BC, Off# F101","Construction, Mechanical and the Built Environment Skills Training; 3D Construction Printing"
3FOLD TRAINING - FZE,https://tec.gov.ae/en/,saira@3foldtraining.com,97145776146,"1003, Park Avenue, Dubai Silicon Oasis, Dubai, UAE",Management Training; Examination Preparation
4S Study Abroad Education Services,https://tec.gov.ae/en/,shipra@4sstudyabroad.com,97145538909,"Sultan Business Centre, Oudmetha",
515 Medical Training Clinic,https://tec.gov.ae/en/,latifastips@gmail.com,97142979715,"Dubai, Jumaira,Alwasel road,Almanra,villa 991",Hair Stylist Training; Beauty Care Training; Healthcare and Awareness Training
56 Invest L.L.C,https://tec.gov.ae/en/,A.A.RASHED@DUBAIPOLICE.GOV.AE,97146993538,Dubai Police Club,Management Training; Time Management
77 Institute L.L.C,https://tec.gov.ae/en/,khawla@your77.com,971526239989,Gulf Tower 1st floor 101 B3-01,Accounting and Finance Training; Healthcare and Awareness Training
8billionideas Education,https://tec.gov.ae/en/,david@8billionideas.com,971568876285,"Office No: 806-017, Port Saeed (new) Building",Child Skills Development Centre; The Internship; The Accelerator; The Incubator; World Changers; Save the design Company; Going Viral; Launchpad
A F M Advance Training International,https://tec.gov.ae/en/,abdalrahmandent@gmail.com,97142990993,"BELHOUL BUILDING, ENTRANCE 4, 3RD FLR, RM 3. AL GARHOUD",Educators' Professional Training; Management Training; Healthcare and Awareness Training; Architecture and Design Training
A Star Learning Education Support Services L.L.C,https://tec.gov.ae/en/,info@astarlearning.ae,971585518858,"Miracle Hill 2 building, Arjan, Barsha South",Examination Preparation; UKCAT preparation; GAMSAT
A T M S Management Training,https://tec.gov.ae/en/,tnoble@atmsedu.org,97145776606,Office number 501 Owned by Hemant Kumar Rajendra Business Bay,Accounting and Finance Training; Management Training; Business and Secretarial Training; Computer Skills Training; Arts and Crafts Skills Training; Garment Design Training
A T P Stem Education And Training Services,https://tec.gov.ae/en/,atinder.db9@gmail.com,97145488611,"601-602, Al Tawhidi Building 2, Mankhool",Computer Skills Training; Examination Preparation
,,,,,
A TO Z Language Training L.L.C,https://tec.gov.ae/en/,mohmedmakhtoum1998@icloud.com,97143981156,Algarhoud star bultig office 101,Language Training; Arabic Language Course for Non-Arabs; Basic English Language Course; Advanced English Language Course
A2A Safety Consultants Co. L.L.C,https://tec.gov.ae/en/,Shahamee48@gmail.com,971544379164,"Office No 17, Bait Al Thiqa Business Center, 2nd floor, Emitac Building, Al Garhoud, Dubai","Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Insurance Training; Legal Training; Management Training; Business and Secretarial Training; Hospitality and Tourism Training; Garment Design Training; Hair Stylist Training; Healthcare and Awareness Training; Occupational Safety and Firefighting Training; Security Training; Construction, Mechanical and the Built Environment Skills Training"
Aadi Shakti Music And Dance Centre,https://tec.gov.ae/en/,aadishaktimusic@gmail.com,97143961164,"Office no 110, Zainal Mohebi Plaza, 13A St",Performing Arts Training; Indian Classical Vocal; Kathak Dance; Keyboard/Harmonium classes
AAFAQ AL SALAM PROFESSIONAL & MANAGEMENT DEVELOPMENT TRAINING,https://tec.gov.ae/en/,training@aafaqalsalamtc.ae,97166788879,"Dubai, Dira, Mirdif, Street 18.20, Villa 63.",Educators' Professional Training; Social and Behavioural Training; Accounting and Finance Training; Legal Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation; Occupational Safety and Firefighting Training; Child Skills Development Centre
AB & Associates - Middle East - FZCO,https://tec.gov.ae/en/,a.badr@abandassociates.com,971542917185,"IFZA Properties, DDP Building A1",Management Training; Business Case & Presentation; Competency Based Interview; Coaching & Staff Development; Communication Skills; Continuous Improvement Practices; Coping with change; Creative Problem Solving & Decision Making; Effective Leadership & Management Skills; Emotional Intelligence; Employee Survey; Engagement & Leadership Practices; General Intelligence Analysis; Group Discussion; High Potential Trait Indicator; Talents (Identify & Mentor); Job Comparison  - Recruit & Retain your Right Talents; Leadership Analysis; Leading Transformation; Managing Intangible Assessts Simulation; Managing Performance & Giving Feedback; Marketing and Sales Awareness Simulation; Moving Up To Management; Personal Profile Analysis; Planning For Results; Proactive Cooperation; Project Management; Role Play; Stakeholders Managament Simulation; Strategic Thinking; Strategic Thinking Simulation; The Change Leader; Debriefing Session + IDP
Abami Consultancy & Training,https://tec.gov.ae/en/,info@abami.ae,97144471548,Tameem House,Educators' Professional Training; Sales and Marketing Training; Accounting and Finance Training; Management Training; Business and Secretarial Training
Abami Consultancy & Training Fz-Llc.,https://tec.gov.ae/en/,info@abami.ae,97144471548,"Ground Floor, DMC-BLD5-VD-G00-115, Dubai Media City, Dubai,",Sales and Marketing Training; Management Training
